Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Colombia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63519996.4956445,78172998.0078693,108999995.484098,125699991.51079,122699998.497822,111305005.002469,142739994.519421,144000010.484853,133749001.51386,151024004.517915,151199999.996524,143000005.010179,149399996.013328,157359996.491358,180990011.49264,184099997.020268,224428993.008843,244998984.004004,261699998.007069,268899999.014322,311799989.997466,298899990.986192,255399989.982035,251899999.007075,252800007.01024,241399994.020275,236000008.479323,265200014.983585,296800004.992372,299800006.481069,334299982.013173,301382998.004299,335400006.02195,369721006.012658,351920995.996806,481591980.813226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Comoros,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99999.9985890938,100000.002242151,99999.9991623407,100000.00223741,100000.005511675,99999.9963156244,100000.000404737,99999.9978621588,100000.003699695,100000.005511146,99999.9990922404,100000.005780724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Congo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3141000.0398563,4599999.89989419,3599999.93987508,1200000.01979532,199999.992004504,200000.017993534,120000.006002621,NaN,NaN,90000.0009956429,176000.003991884,154000.003024214,899999.980183018,799999.970154842,899999.950198339,1299999.99973364,NaN,100000.000020255,499999.978006777,207000.003027971,641000.006991669,1300000.05014415,1099999.98002672,999999.979717859,900000.049764569,1000000.03003367,2000000.03018689,1999999.92970363,2000000.0397258,1999999.97974375,2000000.01967113,2647999.91043768,194999.999028232,NaN,733999.962014175,8999.99954599662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Costa Rica,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37364998.4997727,26799999.0017433,25900000.8001904,34000000.2007431,33900000.9994086,31100000.7009006,28488001.0007301,40542999.9993418,40880000.5014522,39399998.2990844,40500002.0012408,45199998.5212271,48999999.5080028,54000001.4986407,50600002.0172722,49000001.0032695,51999998.9857123,55000001.5023844,58969999.4802471,63000000.4926922,55600001.0122205,62399998.500954,64999999.0236055,60000000.5185656,70000000.5139277,70000000.0163954,88999997.9882745,99999997.9729189,103999997.512515,80000000.5130751,67999997.0109358,53223002.4997886,52068000.0012783,65178999.9728691,61341999.00013,88827999.9854956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cuba,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,158800004.014045,122899993.015414,103100001.987352,130400001.007989,139799998.000225,156299987.996736,187199981.981902,222999999.989695,224999999.983016,280400008.009752,267400000.006044,314991999.991219,276702994.00419,248699986.018362,294399993.997829,293600000.00888,328400001.997876,306400003.992332,304699990.003197,366699977.989848,283000004.001304,239999987.991049,191999994.012645,120000002.002513,71999999.0120513,99999994.0114755,100000004.008302,132999996.010413,107000001.993279,72300002.0149722,77999996.0000978,116600003.992701,67699997.9818145,24850000.9985398,41828999.0127232,30744000.9998589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C?te dIvoire,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6130000.12973098,6473000.13105385,8764999.80989865,7942000.44274951,7799000.19020414,10899999.603018,11999999.6989326,17500000.2988031,15900000.1983105,16600000.0022324,19699999.8023008,11300000.4908221,12800000.1990308,10000000.2527997,11000000.2789296,8200000.30822179,7999999.94061837,4499999.80977709,8199999.72227644,10000000.4392041,13499999.7780063,16199999.5006247,18000000.4988071,30000001.3035664,34000000.1995604,35999999.6973409,41500000.3035956,59999999.9978628,49999997.7997816,41200001.4985586,39999999.9981514,30000000.0024673,52999996.5030917,19993999.9035769,40557999.3018188,16180000.4017123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Democratic Republic of the Congo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2999999.8497618,2800000.0707237,2477000.0308532,3199999.77050574,3100000.11914398,4967999.99943255,6163999.51919462,4499999.99897186,4700000.05992591,5099999.99964552,3700000.16922294,2499999.89056619,3108999.99046629,4107000.01010296,4499999.99966675,3600000.11084887,966000.019957572,3099999.89901709,1899999.96995352,4000000.09012669,3999999.96928123,3999999.84885486,1000000.02002242,3000000.00131679,3468000.04917199,3000000.11014073,2000000.00997159,NaN,1712999.91008001,314999.992005862,299999.998996553,1296999.9998472,3784999.95938327,1075000.03010889,794999.972140054,376000.020993437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Denmark,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,232242649.51096,246118419.507418,262974415.890199,287498984.923415,237607563.50817,262834048.621893,266428169.575053,295257345.559051,295281642.424068,312992709.430865,285145905.528151,297485428.112282,311010396.476682,329353182.966823,325603418.096698,313953515.081179,316354212.082815,299732029.958826,313386688.066029,338847621.950494,338529058.038363,310251380.030135,269972874.072336,272133391.054418,262495084.90842,246845970.07159,240772359.000108,241210799.921227,221901959.000301,209101454.00077,197150018.502812,179572885.993806,168117093.005117,187817800.992469,153181821.509197,153306843.201617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dominican Republic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14490050.1004867,24055226.4986891,38206907.0053811,37341897.49987,43017212.9983975,27355826.4936279,32036802.495825,29258784.0043024,25550862.0053931,31358718.9949921,25650359.4989359,28459308.0009376,28123951.9998448,22795751.49727,28473484.5039569,29875012.4977336,28094354.4997,31610053.0041044,23912504.9943983,35162577.0059908,42351635.9931726,46053126.9993443,38504771.506533,35786232.5053671,40709700.5002063,44406189.5083084,44967353.9920384,50262190.5060337,46263832.0008698,47823597.0004603,43962201.5066079,54620775.9949522,39833952.4927166,36969238.9980154,37979222.00569,33292248.5023035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ecuador,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18011000.3019232,8599999.82935627,19999999.7662642,28700001.3670787,22137998.890827,13548999.0722906,49500001.6288923,58259000.006359,40367002.2536877,43332000.9072808,40700001.4396917,34799998.2740735,33200000.6342319,47000000.0850952,42999998.753172,43237999.3748381,31076999.4106509,27748001.31068,32001001.1950711,45802999.1996648,39421000.3737405,44700001.2064298,42699996.6918906,48999998.8027038,47999999.395076,56000000.6851037,65000002.4419707,90600002.6232594,88099998.3847557,69800000.8141233,71599997.9019381,226367002.091234,134358010.001142,119856995.103384,135631991.995052,116291002.004947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
