Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Costa Rica,6226000,8831000,21000000,24000000,10000000,16700000,15700000,29000000,39980000,37365000,26800000,25900000,34000000,33900000,31100000,28488000,40543000,40880000,39400000,40500000,45200000,49000000,54000000,50600000,49000000,52000000,55000000,58970000,63000000,55600000,62400000,65000000,60000000,70000000,70000000,89000000,100000000,104000000,80000000,68000000,53223000,37310000,65179000,61342000,88828000,71161000,66196000,67845000,71363000,57376000,85476000,NaN,NaN,NaN,NaN
Cuba,40000000,48750000,63649000,76000000,90000000,144000000,170000000,172700000,175600000,158800000,122900000,103100000,130400000,139800000,156300000,187200000,223000000,225000000,280400000,267400000,314992000,276703000,248700000,294400000,293600000,328400000,306400000,304700000,366700000,283000000,240000000,192000000,120000000,72000000,100000000,100000000,133000000,107000000,72300000,78000000,116600000,67343000,24850000,41829000,30744000,43638000,51783000,58322000,28384000,47068000,54664000,NaN,NaN,NaN,NaN
C?te dIvoire,1716000,1762000,2452000,3459000,3769000,4000000,4482000,3564000,4486000,6130000,6473000,8765000.00000001,7942000,7799000,10900000,12000000,17500000,15900000,16600000,19700000,11300000,12800000,10000000,11000000,8200000,8000000,4500000,8200000,9999999.99999999,13500000,16200000,18000000,30000000,34000000,36000000,41500000,60000000,50000000,41200000,40000000,30000000,30009000,19994000,40558000,16180000,10962000,25909000,17606000,21396000,27037000,25543000,NaN,NaN,NaN,NaN
Democratic Republic of the Congo,72000,659000,666999.999999999,1000000,700000,1000000,1500000,2000000,2500000,3000000,2800000,2477000,3200000,3100000,4968000,6164000,4500000,4700000,5100000,3700000,2500000,3109000,4107000,4500000,3600000,966000,3100000,1900000,4000000,4000000,4000000,1000000,3000000,3468000,3000000,2000000,NaN,1713000,315000,300000,1297000,NaN,1075000,795000,376000,1627000,2943000,4314000,2416000,3711000,3057000,NaN,NaN,NaN,NaN
Denmark,133481000,140745330,149739100,163631240,183931200,204113200,218673140,230628840,248595960,263300310,277426800,293233640,321330240,261387150,291615680,297072450,313916400,315303720,322998000,303020190,300777600,309199680,326848860,306573190,290386120,285947250,271580000,275137000,288288000,280379000,261590000,234099000,227500000,220252000,201663000,198720000,194421000,179629000,168640000,168714000,160709927,127329480,184539672,161585677,166333734,184599730,187148890,211676310,181371570,174701850,180761440,NaN,NaN,NaN,NaN
Dominican Republic,10691000,7794000,6000000,8000000,10000000,14308000,15000000,13000000,15000000,15676000,25996000,41300000,40625000,46700000,30000000,35000000,32000000,27878000,34325000,28200000,31400000,30700000,25000000,31300000,33000000,31000000,34800000,26548796,39048502,46766990,50643000,42358400,39501000,45151600,49350000,49250000,54458200,50274000,51842000,47530000,58817640,50401400,39879140,40971840,36104180,48268920,43561000,42271320,36482460,53975460,56326480,NaN,NaN,NaN,NaN
Ecuador,4617000,6136000,7787000,4960000,4894000,6689000,26928000,36522000,21407000,18011000,8600000,20000000,28700000,22138000,13549000,49500000,58259000,40367000,43332000,40700000,34800000,33200000,47000000,43000000,43238000,31077000,27748000,32001000,45803000,39421000,44700000,42700000,49000000,48000000,56000000,65000000,90600000,88100000,69800000,71600000,226367000,132311000,119857000,135632000,116291000,126268000,118168000,156382000,151263000,159097000,177735000,NaN,NaN,NaN,NaN
Egypt,191872000,196126000,227144000,260613000,284845000,243811000,244055000,281379000,310146000,330809000,324504000,360923000,358161000,360000000,415000000,427724000,459504000,490461000,500000000,554000000,585000000,631900000,610000000,594000000,640300000,795500000,786500000,794500000,754116000,745146000,775000000,741510774,845290310,714970112,959330000,989566199.999999,900360000,995748000,963727600,1047654016,1070426000,1039004956,1547237648,1331914038,1413782226,996841920,1062104640,1500163200,1157410560,1367976000,1291190400,NaN,NaN,NaN,NaN
El Salvador,12064000,16527000,29413000,30775000,21608000,34905000,29263000,34000000,35000000,45000000,63000000,65000000,68000000,62500000,65000000,77106000,77118000,84192000,50600000,47649000,66521000,44209000,59376000,39831000,61151000,49120000,64471000,67808000,56155000,52717000,55403000,53669000,52720000,46000000,41887000,60000000,72100000,57000000,56808000,48453000,48274000,34510000,36496000,46957000,68253000,52360000,64920000,74283000,65253000,73674000,82652000,NaN,NaN,NaN,NaN
Fiji,1486000,3401000,4156000,6457000,5000000,4250000,4236000,4881000,4849000,4887000,6199000,7480000,6798000,9152000,7200000,9000000,9900000,9000000,12100000,10800000,12800000,10300000,7500000,10100000,7800000,11300000,10600000,10100000,13200000,12000000,10000000,8500000,9000000,9000000,10000000,10000000,10200000,8900000,6400000,2500000,5000000,9377000,3178000,7659000,6593000,4220000,4025000,6758000,2747000,2435000,4101000,NaN,NaN,NaN,NaN
