Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Costa Rica,6227795,8833224,20999146,24003517,9999448,16696416,15700559,29003391,39974368,37367473,26803050,25903432,33996525,33904880,31101195,28485408,40543510,40882725,39396230,40495455,45194010,48995507,54004440,50599350,49000884,52007032,55004977,58962684,63007586,55607877,62391560,65007320,60001936,69992692,70010528,89005465,99985837,103992624,79995944,68006000,53216700,52069212,37305125,65178520,61340103,88834820,71165832,66205500,67843935,73318173,57329283,85451400,85545376,NaN,NaN
Cuba,39993612,48743178,63645000,75991020,89997908,144000417,169990300,172702492,175604088,158800296,122892667,103105324,130406808,139798314,156297128,187198770,223002780,224997192,280393397,267413772,314990694,276711667,248706930,294402558,293584851,328413821,306394332,304702713,366695472,282993656,240005544,192001536,119996430,72002532,99988560,99992556,132996948,107005530,72307734,78008433,116595520,67695670,67345810,24848780,41829640,30749425,43641444,51788646,58324430,30557348,46151870,73940985,76801950,NaN,NaN
C?te dIvoire,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Democratic Republic of the Congo,67548,644727,668400,1003980,704970,991626,1490412,1987596,2483904,3016725,2810577,2485980,3217536,3107304,4967254,6164046,4494204,4715546,5098119,3679060,2504406,3131801,4117776,4482830,3610530,957644,3127025,1893856,4005495,3998628,4028867,1021950,3018471,3444144,3014750,2004222,NaN,1699320,299255,293955,1325536,3806471,NaN,1098485,811006,351006,1634276,2932650,4301306,2945700,4702852,5252400,2263924,NaN,NaN
Denmark,133487226,142168812,152799651,168692667,191583478,214850988,232632935,247974997,270210910,289347344,308240820,329479452,365155524,300443715,339090381,349481713,373703396,379887732,393904368,374097936,375984154,391402629,419018556,398144146,382077000,381259629,367005256,376885540,400406943,394896780,370006302,333012288,324997353,315998798,291003031,287992584,283014622,263012148,247991154,233995130,210623676,201564724,158365560,218125920,182175951,179045188,190303848,192936380,218219716,186973463,180111317,183148968,176351950,NaN,NaN
Dominican Republic,10692861,7794208,5999655,7999635,10000726,14306842,14998392,12998370,15003696,15672316,25994468,41303880,40624815,46698344,30001394,35001216,31997961,27876892,34322976,28200920,31397652,30701005,24996560,31300022,32996376,30998898,34800128,26601120,39164917,47003292,50996674,42699205,39902804,45703368,49998025,49999488,55404390,51302024,52900212,48495510,60011593,43745296,51434400,40693224,41810814,36841791,49251564,44448690,43132642,45785640,54064062,45379502,33885360,NaN,NaN
Ecuador,4621848,6134080,7785180,4955304,4895418,6687751,26931174,36519792,21404768,18008511,8598044,19995774,28705856,22134430,13555050,49504826,58254308,40365085,43327290,40703100,34803244,33202160,46996048,42997760,43240299,31081870,27746550,31997784,45807496,39422360,44693643,42706881,48992423,48003300,55994732,65002740,90601686,88093224,69806703,71593804,226362248,134354944,132301499,119854488,135629740,116295585,126262752,118166752,156375687,151258543,159088861,178589250,174620000,NaN,NaN
Egypt,191873889,196140780,227161935,260626248,284849026,243821448,244058647,281374800,310153036,330804441,324502640,360921750,358155984,360002896,415003932,427741414,459502625,490445280,500011038,554010852,585008361,631905386,610014856,594001890,640298714,795499992,786515060,794514930,754103875,745130816,774985520,743754678,849552914,720750857,969990736,1002621828,915010800,1014013650,984413820,1073412090,1099016800,1068932028,1070009470,1598420944,1378796606,1468111008,1038411810,1106364735,1562670617,1205632911,1419012908,1344962385,1205889100,NaN,NaN
El Salvador,12064290,16527680,29417400,30776820,21609350,34902410,29261988,33999582,35004713,45001852,62996216,65000215,68004129,62502531,65005500,77101197,77115428,84193873,50596412,47649182,66519495,44208000,59377617,39830672,61149696,49118524,64467744,67804880,56155603,52718578,55401432,53666352,52718350,45999103,41882361,59998134,72096204,57001337,56804531,48448680,48274152,40020990,34509491,36499680,46960502,68250910,52361478,64922967,74290440,65252520,73677180,82651176,73684200,NaN,NaN
Fiji,1486760,3400340,4158154,6460025,4997850,4252584,4234944,4881130,4849229,4889858,6196113,7476348,6792682,9148125,7197750,9001576,9898164,8993730,12102544,10803636,12805478,10304801,7497078,10097568,7798680,11300932,10598094,10101000,13198536,12001473,10001880,8500960,8998050,8998227,10002980,9999150,10200192,8901241,6399888,2500212,4998672,9355080,9374855,3177828,7661472,6594805,4220404,4024370,6759456,2747154,2435972,4101645,4019580,NaN,NaN
Finland,59104842,62012171,77560279,92799546,104807465,102988538,107181620,115636400,159956964,169373828,182103660,179436708,206668564,226436067,199317780,161380503,168383390,183318040,196231904,196940016,183579670,215984130,204786702,196059024,202176816,212299548,214582170,211200473,231359239,206410440,166448645,173995132,171003987,183009728,183022626,174002775,177001888,175004908,176008504,166999644,165003700,161996784,179004214,163884643,173881072,192491828,158286831,184218672,223827903,172818574,210977250,200893114,192268258,NaN,NaN
France,624662274,682851400,790663146,860517285,870653706,990078300,1133065266,1243083360,1241313888,1453508955,1524788854,1587996192,1833022233,1554759650,1707855736,1815010593,1831721216,1978037496,2134808160,2146561200,2192957595,2195958369,2319946884,2337064818,2408017813,2568325019,2557045205,2604979545,2660027370,2491998662,2568986450,2154007295,2222067830,2308295856,2391718842,2523846462,2513181645,2488037268,2571333870,2316276744,2396955960,2278996840,2203214156,2375348460,2323971115,2205027396,2204649080,2402081316,2098931650,1900894450,2042945120,1944412790,1914976310,NaN,NaN
Gabon,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46693,21459,29915,300398,376635,99875,99461,92050,100440,796852,200703,600480,499494,500176,1094764,813260,329800,399249,135174,199485,100713,99354,100491,100299,99420,99351,100100,99848,100540,100062,99996,553380,189786,679833,579703,799110,890668,819180,883500,593040,840768,658243,NaN,NaN
Gambia,NaN,NaN,NaN,7820,15752,53541,49504,34200,94350,151760,299192,365884,302512,400840,165775,200526,494628,1050753,1467200,639480,318688,758540,1100121,999485,2999394,3001390,799128,310232,660000,200256,300816,200680,199558,199408,343853,205333,299046,2300066,1001052,599029,600325,601086,NaN,1738557,1201214,1672528,1673008,1521094,833875,1366120,1785650,2629440,1150695,NaN,NaN
Germany,877012543,1031005154,1035532660,1123048071,1287662418,1321269729,1344048370,1443336100,1571991993,1642044885,1707890383,1846891260,1766890000,1872250327,1906095957,2077943140,2095484936,2138015187,2225100725,2302625121,2072820492,2171461092,2071762765,2148784050,2285668660,2287254830,2375282340,2413033326,2253041052,1787305520,1720030027,1679975250,1612272987,1787402834,1769983830,1758005898,1788403992,1903069224,2014052418,1847444062,1792227222,1787606550,1787802360,1827769313,1778426600,1785069440,1599727416,1807217900,1550623725,1568988404,1786461456,1640342030,1648789778,NaN,NaN
Ghana,169871,711645,796680,153428,201888,305907,508860,438760,370788,1369508,1118033,2584200,2952990,3780717,11010790,12007249,10103600,10597944,8403604,5001426,13004355,12501104,10996648,5009900,5002815,4089855,5134370,7040600,5794774,8004375,6994755,6988394,5215659,2694496,3190388,7200360,8715692,7282830,7999233,7052293,14171430,14182476,4332870,8574510,5686268,11113620,30187157,25909156,18394236,21152448,24849702,10731960,42331905,NaN,NaN
Greece,83355614,96674067,115921515,131054632,133939652,145103140,156799825,182114496,190106718,200629524,205714300,212461884,244293652,251489645,275076918,291302013,294003882,341198533,356095044,333307329,373301816,383790652,418003911,426607588,458290944,431602760,388783320,415583872,404202555,427510526,408411702,392993195,328001380,346008453,314999650,339995968,307000005,291989600,291000312,284993175,261009140,253017969,271988376,284704618,225060825,203854911,172618275,136558058,175044375,114156705,177137280,269196200,182047525,NaN,NaN
Guatemala,9034515,8900489,11434346,9046796,7305768,19503750,13595547,23699480,19396620,28979320,13234086,23574888,31995720,36896688,35098999,49923321,52000168,52006570,58202410,51896604,46995840,58705158,41695440,55503653,60002943,80007378,83808702,61604268,83395160,80001649,98195184,100001370,106999007,111996864,114995790,109999785,118453296,101006356,123997847,124497975,114999508,91598397,84154820,118067768,140342976,131430600,145721696,133080102,88310046,120545344,142132408,180506718,178127353,NaN,NaN
Guinea,502900,495788,496367,799940,498764,1001972,1003653,997368,1004154,1496376,1597146,1695775,804576,648540,597408,600576,202864,206016,1101660,40014,446193,613800,NaN,86496,175716,278350,307209,264888,385925,729675,1357852,258132,1055010,2306544,2812716,2444303,677970,1128550,1000818,1004869,1010940,1010080,1788944,1650900,1669588,1959214,1992672,3183800,2810340,1253772,2516360,5126625,3910048,NaN,NaN
Guinea-Bissau,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Guyana,4582116,5050441,5136111,4524032,6042608,5002540,6209619,5626950,6785288,6535482,7380114,9291828,9260380,11199360,7700770,6028968,5068791,11671358,6518946,4259508,9317844,9178525,9566043,9684851,7311579,12443703,8001280,10596362,12000695,8003721,13003584,10500350,10000730,8100880,11999008,10899000,13974064,13802180,15533022,10736550,11198176,14418890,13608196,9619428,19117485,6179030,8299648,6364665,18264015,6705497,14134929,6371964,8520757,NaN,NaN
