Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Colombia,23000660.4,40000286.09,36609140.7,53088210.56,44998877.02,44715334.2,46999489.14,53000835,54295992.6,63520425.72,78174755.92,108999745.79,125700059,122700036.3,111303689.25,142739814.24,144000391.92,133750158.19,151024695.01,151201353.82,143001806.15,149401029.96,157360586.11,180990578.11,184098037.8,224429849.28,244998570.39,261699129.36,268901612.05,311802192.13,298898628.66,255399349.27,251901463.2,252800968.4,241398026.1,235998393.62,265199130.9,296798644.8,299801985.96,334301575.72,301383899.4,356649768,369722631,351922572,481591222,543963377.1,574623630,458489053,544867362,538736569,608745130,619257567,568547616,NaN,NaN
Comoros,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100007.44,100029.16,99964.34,100023.82,100031.29,99997.24,99974.64,99979.92,100036.61,99959.31,99960.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Congo,199927.8,300044.25,499992.57,500004.68,699971.76,748970.04,833900.56,999929.61,2614038.25,3141151.2,4600072.8,3599958.6,1200048.64,200054.66,200023.36,119938.55,NaN,NaN,89957.04,175972.3,154096.8,899943.66,799965.68,899925.6,1299926.42,NaN,100008.48,500112,206973.9,640974.6,1299963,1100017.68,999997.5,899889.06,1000085.37,1999907.07,2000044,1999976.16,2000016.14,1999927.26,2648130.7,NaN,NaN,733985.2,9119.27,24095.2,64143.09,252071.18,912979.1,110130.9,282079.7,744097.76,765978.34,NaN,NaN
Costa Rica,6225872.88,8830972.79,20999787.9,23999731.98,10000064.9,16700185.8,15700097.58,29000136.11,39980171.88,37365462.38,26800224.45,25900186.67,33999758.06,33900090.48,31099921.02,28488093.3,40542938.8,40880186.34,39400493.85,40499636.8,45200287.86,49000264.5,53999753.92,50600626.06,48999934.91,51999634.22,55000252.8,58970604.76,63000571.34,55600745.64,62399348.66,65000590.16,60000317.46,69999782.56,70000282.89,89000612.68,99999094.12,104000045.99,79999367.34,67999728,53222569.58,37310204.06,65178316.8,61341771.63,88828723.49,71161793.3,66196319.11,67845173.98,73323458.76,57324568.65,85448960.16,85550060.4,87709984.56,NaN,NaN
Cuba,39999300,48749360,63649506,75999067.1,89999509.6,144000434.88,169999695.32,172700206.64,175600677.84,158800299.06,122899805.38,103098839.82,130399710.4,139800204.36,156300533.84,187200625.04,222999601.5,225001248.88,280399414.36,267401084.16,314992021.72,276704554.84,248700130.04,294400243.44,293600939.5,328399181.3,306399258.9,304700132.91,366698924.9,283000830.64,240000044.24,191999641.77,120000633.93,72000674.26,100000920.76,100000613.79,132999738.06,107000507.68,72299920.29,78001037.1,116600122.51,67343734.41,24849454.04,41829975,30744116.44,43638272,51783048.24,58321461.33,30562259.2,46159436.16,72157010.85,70846620.09,63449211.18,NaN,NaN
C?te dIvoire,1716248.29,1762945.82,2452295.04,3459588.25,3769976.76,3999216,4480780.2,3565180.2,4486524.6,6129316.44,6474077.8,8763921.6,7942399.46,7799371.65,10899810,12000000,17499120,15901170,16600025,19698019.05,11300820,12800990,10002288,11001211.59,8198288.15,7998993,4498200,8202480,10000295.1,13502610,16197519,17997536.08,29998370.78,34000219.8,35997164.12,41497025.08,59999090.22,49998467.7,41202503.58,40001957.04,30000612.64,30011876.55,19992130.28,40561074.84,16176985.44,10962400,25907400,17608537.98,21396151.44,26721400,25234000,33773600,34920600,NaN,NaN
Democratic Republic of the Congo,73381.8,660010.59,665269.05,998544.25,701020.39,1000644.3,1499351.1,1998037.92,2501598,2997905.1,2801545.11,2478724.35,3201820.53,3098244.12,4968185.72,6161999.05,4498974.48,4698094.83,5099672.7,3701405.73,2498595,3108432.38,4104620.19,4501044.6,3600520,968952.74,3097114.38,1900331.16,4000062.6,4001537.91,4002353.28,1000456.8,3001524.21,3469509.02,2997396.27,1998965.28,NaN,1713790.26,314900.01,302712.5,1297196.13,NaN,1076232.56,792304.48,374901.03,1624842.83,2944963.7,4312402.92,2927752.8,4677401.3,3514661.4,2763142.62,5418562.5,NaN,NaN
Denmark,133480391.68,140746625.32,149739443.28,163631686.74,183932014.35,204113010.22,218674003.9,230628057.25,248596280.1,263300364.41,277426415.7,293234923.8,321329743.41,261386980.2,291616439.08,297070698.7,313916928.1,315303738.24,322997712.42,303020901.7,300777986.25,309200661.15,326848143.09,306574031.91,290386646,285947844,271579544,275136490,288288315,280377834,261588754,234100048,227500504.14,220252598,201663000,198720081,194419890,179628710,168639916,168713034,160710200,127329759,184539648,161584620,166333307,184599909,187149456,211676394,181371288,174701112,177655431,171061680,173206914,NaN,NaN
Dominican Republic,10690972.68,7793887.2,6000230.32,7999973.44,9999752.32,14307644.16,15000031.96,13000270.36,14999935.45,15675641.44,25995621.6,41300309.66,40625008.6,46700362.72,29999899.65,34999761,32000289.92,27878261.55,34324896.63,28200430.72,31399921.79,30700354.28,24999568,31300163.7,32999689.6,31000182.92,34800462.8,26548669.6,39047935.36,46766521.42,50643111.2,42358239.73,39501235.36,45152026.7,49350510.6,49250213.47,54458598.6,50274327.36,51841476.26,47530388.88,58817690,50401081.44,39878630.64,40971655.67,36104444.46,48269242.56,43561377.89,42271128.36,44871763.68,52983462.44,44310612.8,33128681.47,35955116.4,NaN,NaN
Ecuador,4616854.52,6135847.52,7787366.16,4960426.8,4894613.76,6688244.29,26928744.56,36521774.08,21407452.34,18010681.04,8600187,19999285.04,28700508.34,22137657.3,13548430.48,49500643,58259043.7,40367270.1,43331841.18,40699366.79,34800547.77,33200879.4,46999640.16,43000252.2,43238056.7,31077384.8,27748851.7,32001264.11,45803176.9,39420962.36,44700973.2,42698835.75,49000765.03,48000056.67,56000873.57,65000861.18,90600245.7,88099540.8,69799998.4,71600747.31,226367137.92,132310024.7,119857328.28,135631434,116291243.2,126267235.28,118168365,156382543.23,151260282,159095577.36,178587093.6,174626435.28,155500086.85,NaN,NaN
