"","year","Australia","Austria","Brazil","Canada","Switzerland","Chile","Germany","Finland","France","United Kingdom of Great Britain and Northern Ireland","Ireland","Japan","Luxembourg","Morocco","Netherlands","New Zealand","Poland","Slovenia","Uruguay","United States of America","South Africa"
"816",1996,0.939896095927827,0.895126560188116,0.9971819452574,0.972,0.72,0.824949,0.747765650461925,0.642996,0.820501935765769,0.642757935970462,0.405534494042732,0.819,0.453752079169721,0.962,0.302057854344941,0.08,0.826855272557624,0.658894117514503,0.904,0.766979,0.957
"817",1997,0.937476675650136,0.897278547696748,0.996868828063778,0.966,0.723,0.819943,0.749579401137453,0.619002,0.824659580654753,0.67174530463041,0.387192562075221,0.804,0.453752079169721,0.955,0.278399910073295,0.08,0.827400158474673,0.656346145148634,0.892,0.76717,0.951
"818",1998,0.935093117103268,0.897725098053157,0.992955066921313,0.961,0.727,0.816929,0.747979415733433,0.593997,0.829681158073522,0.715571557036044,0.398432707039773,0.79,0.453752079169721,0.949,0.277483996679846,0.08,0.830369849707669,0.658975876964618,0.88,0.763236,0.946
"819",1999,0.932837355825048,0.895750469373291,0.988281188014552,0.955,0.73,0.814935,0.741670708970144,0.570004,0.832219800110862,0.707281214693826,0.391145035877251,0.79,0.453752079169721,0.942,0.282484352441643,0.08,0.830247490864001,0.649350198443947,0.88,0.758694,0.94
"820",2000,0.930801327353304,0.895972717448883,0.982725766009936,0.95,0.727,0.811944,0.742426881782683,0.580002,0.836560344997616,0.872458147976011,0.387164178004735,0.79,0.453752079169721,0.934,0.334377388331143,0.08,0.826689974741767,0.635448411100366,0.88,0.758294,0.937
"821",2001,0.928913471796955,0.896359550153156,0.976167375573908,0.941,0.724,0.808943,0.751602323061522,0.590006,0.841698352325987,0.662884632313387,0.412127154474425,0.79,0.452531760289643,0.927,0.415808014691138,0.08,0.832927611081315,0.642932888214775,0.88,0.749966,0.935
"822",2002,0.927049275613574,0.897843375359663,0.968560644214206,0.932,0.721,0.806942,0.76159152335532,0.599998,0.848934525773878,0.760160591014897,0.419054558421318,0.79,0.453752079169721,0.92,0.373384994772257,0.08,0.829744342924195,0.637938831331881,0.88,0.745686,0.932
"823",2003,0.925221243863966,0.897820704629385,0.959976359175748,0.923,0.719,0.803944,0.77039189099302,0.609996,0.854521970687866,0.736084627505162,0.418802427721796,0.79,0.453752079169721,0.912,0.416474117496832,0.08,0.842056167071103,0.641798304215353,0.88,0.751789,0.929
"824",2004,0.923441881608934,0.899038166050556,0.950467334730754,0.914,0.716,0.800947,0.785605059037625,0.619996,0.861319111641754,0.784319461925909,0.438668259008018,0.79,0.453752079169721,0.905,0.425857757933794,0.08,0.842878784737767,0.661175651077604,0.88,0.750097,0.927
"825",2005,0.921723693909284,0.899806947994563,0.940086385151442,0.905,0.713,0.798947,0.795374592836868,0.630004,0.86133306939212,0.780932209574241,0.432596801244432,0.79,0.437842838163041,0.898,0.452432367879159,0.08,0.84083738339439,0.646300793089934,0.88,0.751219,0.924
